appliance_name,local_time,current_power,distance_ultrasonic,distance_bluetooth,distance_ultrawideband,user_presence_detected
lamp,2025-03-09 20:11:46,10198,0,0,0,1
lamp,2025-03-09 20:11:57,10182,0,0,0,1
lamp,2025-03-09 20:12:09,10363,0,0,0,1
lamp,2025-03-09 20:12:19,10358,0,0,0,1
lamp,2025-03-09 20:12:31,10201,0,0,0,1
lamp,2025-03-09 20:12:43,10188,0,0,0,1
lamp,2025-03-09 20:12:54,10132,0,0,0,1
lamp,2025-03-09 20:13:05,10185,0,0,0,1
lamp,2025-03-09 20:13:16,10304,0,0,0,1
lamp,2025-03-09 20:13:28,10112,0,0,0,1
lamp,2025-03-09 20:13:39,10430,0,0,0,1
lamp,2025-03-09 20:13:50,10256,0,0,0,1
lamp,2025-03-09 20:14:01,10017,0,0,0,1
lamp,2025-03-09 20:14:12,10030,0,0,0,1
lamp,2025-03-09 20:14:23,10290,0,0,0,1
lamp,2025-03-09 20:14:34,9941,0,0,0,1
lamp,2025-03-09 20:14:45,10384,0,0,0,1
lamp,2025-03-09 20:14:56,10131,0,0,0,1
lamp,2025-03-09 20:15:07,10071,0,0,0,1
lamp,2025-03-09 20:15:18,10157,0,0,0,1
lamp,2025-03-09 20:15:30,10174,0,0,0,1
lamp,2025-03-09 20:15:41,10167,0,0,0,1
lamp,2025-03-09 20:15:53,10267,0,0,0,1
lamp,2025-03-09 20:16:03,10181,0,0,0,1
lamp,2025-03-09 20:16:14,10210,0,0,0,1
lamp,2025-03-09 20:16:25,10280,0,0,0,1
lamp,2025-03-09 20:16:36,10077,0,0,0,1
lamp,2025-03-09 20:16:47,10282,0,0,0,1
lamp,2025-03-09 20:16:58,10162,0,0,0,1
lamp,2025-03-09 20:17:08,10522,0,0,0,1
lamp,2025-03-09 20:17:19,10113,0,0,0,1
lamp,2025-03-09 20:17:30,10345,0,0,0,1
lamp,2025-03-09 20:17:42,10087,0,0,0,1
lamp,2025-03-09 20:17:53,10314,0,0,0,1
lamp,2025-03-09 20:18:03,10397,0,0,0,1
lamp,2025-03-09 20:18:14,10378,0,0,0,1
lamp,2025-03-09 20:18:25,10271,0,0,0,1
lamp,2025-03-09 20:18:36,10078,0,0,0,1
lamp,2025-03-09 20:18:48,10171,0,0,0,1
lamp,2025-03-09 20:19:00,10489,0,0,0,1
lamp,2025-03-09 20:19:10,10257,0,0,0,1
lamp,2025-03-09 20:19:22,10262,0,0,0,1
lamp,2025-03-09 20:19:33,10223,0,0,0,1
lamp,2025-03-09 20:19:44,10248,0,0,0,1
lamp,2025-03-09 20:19:55,10124,0,0,0,1
lamp,2025-03-09 20:20:06,9938,0,0,0,1
lamp,2025-03-09 20:20:18,10077,0,0,0,1
lamp,2025-03-09 20:20:29,10401,0,0,0,1
lamp,2025-03-09 20:20:40,10303,0,0,0,1
lamp,2025-03-09 20:20:51,10347,0,0,0,1
lamp,2025-03-09 20:21:02,10445,0,0,0,1
lamp,2025-03-09 20:21:12,10078,0,0,0,1
lamp,2025-03-09 20:21:24,10260,0,0,0,1
lamp,2025-03-09 20:21:34,10075,0,0,0,1
lamp,2025-03-09 20:21:46,10278,0,0,0,1
lamp,2025-03-09 20:21:56,10396,0,0,0,1
lamp,2025-03-09 20:22:07,10099,0,0,0,1
lamp,2025-03-09 20:22:17,10293,0,0,0,1
lamp,2025-03-09 20:22:28,10241,0,0,0,1
lamp,2025-03-09 20:22:40,10146,0,0,0,1
lamp,2025-03-09 20:22:50,10216,0,0,0,1
lamp,2025-03-09 20:23:01,10196,0,0,0,1
lamp,2025-03-09 20:23:12,10311,0,0,0,1
lamp,2025-03-09 20:23:23,10166,0,0,0,1
lamp,2025-03-09 20:23:34,10152,0,0,0,1
lamp,2025-03-09 20:23:45,9825,0,0,0,1
lamp,2025-03-09 20:23:56,10304,0,0,0,1
lamp,2025-03-09 20:24:07,9902,0,0,0,1
lamp,2025-03-09 20:24:19,10005,0,0,0,1
lamp,2025-03-09 20:24:29,10029,0,0,0,1
lamp,2025-03-09 20:24:40,10460,0,0,0,1
lamp,2025-03-09 20:24:50,10441,0,0,0,1
lamp,2025-03-09 20:25:00,10147,0,0,0,1
lamp,2025-03-09 20:25:11,10326,0,0,0,1
lamp,2025-03-09 20:25:22,10108,0,0,0,1
lamp,2025-03-09 20:25:34,10238,0,0,0,1
lamp,2025-03-09 20:25:45,10250,0,0,0,1
lamp,2025-03-09 20:25:57,10155,0,0,0,1
lamp,2025-03-09 20:26:08,10218,0,0,0,1
lamp,2025-03-09 20:26:19,10388,0,0,0,1
lamp,2025-03-09 20:26:29,10479,0,0,0,1
lamp,2025-03-09 20:26:40,10412,0,0,0,1
lamp,2025-03-09 20:26:50,10206,0,0,0,1
lamp,2025-03-09 20:27:05,10445,0,0,0,1
lamp,2025-03-09 20:27:16,10425,0,0,0,1
lamp,2025-03-09 20:27:26,10432,0,0,0,1
lamp,2025-03-09 20:27:36,10393,0,0,0,1
lamp,2025-03-09 20:27:46,10629,0,0,0,1
lamp,2025-03-09 20:27:58,10513,0,0,0,1
lamp,2025-03-09 20:28:11,10332,0,0,0,1
lamp,2025-03-09 20:28:22,10482,0,0,0,1
lamp,2025-03-09 20:28:32,10565,0,0,0,1
lamp,2025-03-09 20:28:43,10276,0,0,0,1
lamp,2025-03-09 20:28:54,10288,0,0,0,1
lamp,2025-03-09 20:29:04,10681,0,0,0,1
lamp,2025-03-09 20:29:14,10691,0,0,0,1
lamp,2025-03-09 20:29:26,10125,0,0,0,1
lamp,2025-03-09 20:29:36,10364,0,0,0,1
lamp,2025-03-09 20:29:49,10336,0,0,0,1
lamp,2025-03-09 20:30:00,10436,0,0,0,1
lamp,2025-03-09 20:30:10,10452,0,0,0,1
lamp,2025-03-09 20:30:21,10370,0,0,0,1
lamp,2025-03-09 20:30:31,10304,0,0,0,1
lamp,2025-03-09 20:30:43,10070,0,0,0,1
lamp,2025-03-09 20:30:54,10454,0,0,0,1
lamp,2025-03-09 20:31:04,10344,0,0,0,1
lamp,2025-03-09 20:31:16,10485,0,0,0,1
lamp,2025-03-09 20:31:27,10357,0,0,0,1
lamp,2025-03-09 20:31:37,10391,0,0,0,1
lamp,2025-03-09 20:31:48,10315,0,0,0,1
lamp,2025-03-09 20:31:59,10375,0,0,0,1
lamp,2025-03-09 20:32:10,10324,0,0,0,1
lamp,2025-03-09 20:32:21,10142,0,0,0,1
lamp,2025-03-09 20:32:32,10236,0,0,0,1
lamp,2025-03-09 20:32:42,10383,0,0,0,1
lamp,2025-03-09 20:32:53,10414,0,0,0,1
lamp,2025-03-09 20:33:03,10542,0,0,0,1
lamp,2025-03-09 20:33:14,10570,0,0,0,1
lamp,2025-03-09 20:33:25,10429,0,0,0,1
lamp,2025-03-09 20:33:35,10268,0,0,0,1
lamp,2025-03-09 20:33:47,10272,0,0,0,1
lamp,2025-03-09 20:33:58,10337,0,0,0,1
lamp,2025-03-09 20:34:08,10223,0,0,0,1
lamp,2025-03-09 20:34:20,10285,0,0,0,1
lamp,2025-03-09 20:34:30,10320,0,0,0,1
lamp,2025-03-09 20:34:41,10253,0,0,0,1
lamp,2025-03-09 20:34:51,10163,0,0,0,1
lamp,2025-03-09 20:35:04,10254,0,0,0,1
lamp,2025-03-09 20:35:15,10375,0,0,0,1
lamp,2025-03-09 20:35:26,10486,0,0,0,1
lamp,2025-03-09 20:35:38,10324,0,0,0,1
lamp,2025-03-09 20:35:49,10426,0,0,0,1
lamp,2025-03-09 20:36:00,10036,0,0,0,1
lamp,2025-03-09 20:36:11,10259,0,0,0,1
lamp,2025-03-09 20:36:22,10045,0,0,0,1
lamp,2025-03-09 20:36:33,10424,0,0,0,1
lamp,2025-03-09 20:36:43,10239,0,0,0,1
lamp,2025-03-09 20:36:55,10312,0,0,0,1
lamp,2025-03-09 20:37:05,10152,0,0,0,1
lamp,2025-03-09 20:37:17,10251,0,0,0,1
lamp,2025-03-09 20:37:28,10132,0,0,0,1
lamp,2025-03-09 20:37:37,10081,0,0,0,1
lamp,2025-03-09 20:37:49,10180,0,0,0,1
lamp,2025-03-09 20:37:59,10387,0,0,0,1
lamp,2025-03-09 20:38:09,10198,0,0,0,1
lamp,2025-03-09 20:38:21,10285,0,0,0,1
lamp,2025-03-09 20:38:32,10415,0,0,0,1
lamp,2025-03-09 20:38:42,10441,0,0,0,1
lamp,2025-03-09 20:38:53,10226,0,0,0,1
lamp,2025-03-09 20:39:04,10215,0,0,0,1
lamp,2025-03-09 20:39:15,10126,0,0,0,1
lamp,2025-03-09 20:39:26,10190,0,0,0,1
lamp,2025-03-09 20:39:37,10315,0,0,0,1
lamp,2025-03-09 20:39:48,9981,0,0,0,1
lamp,2025-03-09 20:40:00,9848,0,0,0,1
lamp,2025-03-09 20:40:11,10070,0,0,0,1
lamp,2025-03-09 20:40:21,10228,0,0,0,1
lamp,2025-03-09 20:40:32,10576,0,0,0,1
lamp,2025-03-09 20:40:43,10298,0,0,0,1
lamp,2025-03-09 20:40:55,10311,0,0,0,1
lamp,2025-03-09 20:41:06,10296,0,0,0,1
lamp,2025-03-09 20:41:20,10243,0,0,0,1
lamp,2025-03-09 20:41:30,10126,0,0,0,1
lamp,2025-03-09 20:41:40,10188,0,0,0,1
lamp,2025-03-09 20:41:52,10218,0,0,0,1
lamp,2025-03-09 20:42:03,10110,0,0,0,1
lamp,2025-03-09 20:42:14,10100,0,0,0,1
lamp,2025-03-09 20:42:24,10012,0,0,0,1
lamp,2025-03-09 20:42:36,10345,0,0,0,1
lamp,2025-03-09 20:42:46,10067,0,0,0,1
lamp,2025-03-09 20:42:58,10372,0,0,0,1
lamp,2025-03-09 20:43:09,10212,0,0,0,1
lamp,2025-03-09 20:43:21,10233,0,0,0,1
lamp,2025-03-09 20:43:31,10624,0,0,0,1
lamp,2025-03-09 20:43:42,10236,0,0,0,1
lamp,2025-03-09 20:43:54,10421,0,0,0,1
lamp,2025-03-09 20:44:05,10216,0,0,0,1
lamp,2025-03-09 20:44:16,10412,0,0,0,1
lamp,2025-03-09 20:44:28,10286,0,0,0,1
lamp,2025-03-09 20:44:39,10140,0,0,0,1
lamp,2025-03-09 20:44:50,10474,0,0,0,1
lamp,2025-03-09 20:45:02,10429,0,0,0,1
lamp,2025-03-09 20:45:13,10416,0,0,0,1
lamp,2025-03-09 20:45:23,10264,0,0,0,1
lamp,2025-03-09 20:45:35,10303,0,0,0,1
lamp,2025-03-09 20:45:47,10170,0,0,0,1
lamp,2025-03-09 20:45:58,10264,0,0,0,1
lamp,2025-03-09 20:46:09,10116,0,0,0,1
lamp,2025-03-09 20:46:20,10307,0,0,0,1
lamp,2025-03-09 20:46:31,10319,0,0,0,1
lamp,2025-03-09 20:46:42,10420,0,0,0,1
lamp,2025-03-09 20:46:53,10197,0,0,0,1
lamp,2025-03-09 20:47:03,10300,0,0,0,1
lamp,2025-03-09 20:47:14,10326,0,0,0,1
lamp,2025-03-09 20:47:25,10391,0,0,0,1
lamp,2025-03-09 20:47:35,10089,0,0,0,1
lamp,2025-03-09 20:47:46,10469,0,0,0,1
lamp,2025-03-09 20:47:56,10254,0,0,0,1
lamp,2025-03-09 20:48:06,10031,0,0,0,1
lamp,2025-03-09 20:48:17,10451,0,0,0,1
lamp,2025-03-09 20:48:27,10461,0,0,0,1
lamp,2025-03-09 20:48:38,10159,0,0,0,1
lamp,2025-03-09 20:48:50,10304,0,0,0,1
lamp,2025-03-09 20:49:01,10305,0,0,0,1
lamp,2025-03-09 20:49:12,10484,0,0,0,1
lamp,2025-03-09 20:49:23,10107,0,0,0,1
lamp,2025-03-09 20:49:35,10227,0,0,0,1
lamp,2025-03-09 20:49:46,10274,0,0,0,1
lamp,2025-03-09 20:49:56,10145,0,0,0,1
lamp,2025-03-09 20:50:06,10357,0,0,0,1
lamp,2025-03-09 20:50:17,10482,0,0,0,1
lamp,2025-03-09 20:50:28,10473,0,0,0,1
lamp,2025-03-09 20:50:38,10238,0,0,0,1
lamp,2025-03-09 20:50:49,10436,0,0,0,1
lamp,2025-03-09 20:51:00,10362,0,0,0,1
lamp,2025-03-09 20:51:11,10045,0,0,0,1
lamp,2025-03-09 20:51:22,10232,0,0,0,1
lamp,2025-03-09 20:51:32,10167,0,0,0,1
lamp,2025-03-09 20:51:42,9783,0,0,0,1
lamp,2025-03-09 20:51:54,10038,0,0,0,1
lamp,2025-03-09 20:52:06,10342,0,0,0,1
lamp,2025-03-09 20:52:16,10129,0,0,0,1
lamp,2025-03-09 20:52:27,10049,0,0,0,1
lamp,2025-03-09 20:52:40,10272,0,0,0,1
lamp,2025-03-09 20:52:51,10270,0,0,0,1
lamp,2025-03-09 20:53:03,10290,0,0,0,1
lamp,2025-03-09 20:53:14,10048,0,0,0,1
lamp,2025-03-09 20:53:25,10567,0,0,0,1
lamp,2025-03-09 20:53:36,10488,0,0,0,1
lamp,2025-03-09 20:53:47,10303,0,0,0,1
lamp,2025-03-09 20:53:57,10173,0,0,0,1
lamp,2025-03-09 20:54:09,10350,0,0,0,1
lamp,2025-03-09 20:54:19,10285,0,0,0,1
lamp,2025-03-09 20:54:30,10099,0,0,0,1
lamp,2025-03-09 20:54:40,10314,0,0,0,1
lamp,2025-03-09 20:54:53,10193,0,0,0,1
lamp,2025-03-09 20:55:03,10270,0,0,0,1
lamp,2025-03-09 20:55:14,10282,0,0,0,1
lamp,2025-03-09 20:55:25,10431,0,0,0,1
lamp,2025-03-09 20:55:36,10065,0,0,0,1
lamp,2025-03-09 20:55:46,9996,0,0,0,1
lamp,2025-03-09 20:55:58,10184,0,0,0,1
lamp,2025-03-09 20:56:08,10067,0,0,0,1
lamp,2025-03-09 20:56:20,10127,0,0,0,1
lamp,2025-03-09 20:56:31,10038,0,0,0,1
lamp,2025-03-09 20:56:42,10027,0,0,0,1
lamp,2025-03-09 20:56:53,10345,0,0,0,1
lamp,2025-03-09 20:57:03,10328,0,0,0,1
lamp,2025-03-09 20:57:14,10417,0,0,0,1
lamp,2025-03-09 20:57:25,10541,0,0,0,1
lamp,2025-03-09 20:57:35,10325,0,0,0,1
lamp,2025-03-09 20:57:46,10050,0,0,0,1
lamp,2025-03-09 20:57:56,10436,0,0,0,1
lamp,2025-03-09 20:58:06,10475,0,0,0,1
lamp,2025-03-09 20:58:18,10171,0,0,0,1
lamp,2025-03-09 20:58:28,10273,0,0,0,1
lamp,2025-03-09 20:58:39,10220,0,0,0,1
lamp,2025-03-09 20:58:49,10155,0,0,0,1
lamp,2025-03-09 20:59:01,10323,0,0,0,1
lamp,2025-03-09 20:59:11,10201,0,0,0,1
lamp,2025-03-09 20:59:22,10368,0,0,0,1
lamp,2025-03-09 20:59:34,10558,0,0,0,1
lamp,2025-03-09 20:59:44,10611,0,0,0,1
lamp,2025-03-09 20:59:55,10453,0,0,0,1
lamp,2025-03-09 21:00:05,10534,0,0,0,1
lamp,2025-03-09 21:00:15,10253,0,0,0,1
lamp,2025-03-09 21:00:26,10461,0,0,0,1
lamp,2025-03-09 21:00:37,10345,0,0,0,1
lamp,2025-03-09 21:00:48,10426,0,0,0,1
lamp,2025-03-09 21:00:59,10231,0,0,0,1
lamp,2025-03-09 21:01:09,10351,0,0,0,1
lamp,2025-03-09 21:01:20,10645,0,0,0,1
lamp,2025-03-09 21:01:30,10444,0,0,0,1
lamp,2025-03-09 21:01:40,10303,0,0,0,1
lamp,2025-03-09 21:01:52,10310,0,0,0,1
lamp,2025-03-09 21:02:02,10148,0,0,0,1
lamp,2025-03-09 21:02:13,10577,0,0,0,1
lamp,2025-03-09 21:02:24,10410,0,0,0,1
lamp,2025-03-09 21:02:35,10304,0,0,0,1
lamp,2025-03-09 21:02:47,10360,0,0,0,1
lamp,2025-03-09 21:02:58,10447,0,0,0,1
lamp,2025-03-09 21:03:08,10336,0,0,0,1
lamp,2025-03-09 21:03:19,10129,0,0,0,1
lamp,2025-03-09 21:03:29,10597,0,0,0,1
lamp,2025-03-09 21:03:40,10297,0,0,0,1
lamp,2025-03-09 21:03:50,10299,0,0,0,1
lamp,2025-03-09 21:04:00,10056,0,0,0,1
lamp,2025-03-09 21:04:11,10478,0,0,0,1
lamp,2025-03-09 21:04:21,10298,0,0,0,1
lamp,2025-03-09 21:04:32,10128,0,0,0,1
lamp,2025-03-09 21:04:43,10398,0,0,0,1
lamp,2025-03-09 21:04:54,10205,0,0,0,1
lamp,2025-03-09 21:05:06,10420,0,0,0,1
lamp,2025-03-09 21:05:16,10223,0,0,0,1
lamp,2025-03-09 21:05:27,10232,0,0,0,1
lamp,2025-03-09 21:05:37,10141,0,0,0,1
lamp,2025-03-09 21:05:49,10342,0,0,0,1
lamp,2025-03-09 21:06:00,10277,0,0,0,1
lamp,2025-03-09 21:06:12,10069,0,0,0,1
lamp,2025-03-09 21:06:22,10251,0,0,0,1
lamp,2025-03-09 21:06:33,10306,0,0,0,1
lamp,2025-03-09 21:06:43,10116,0,0,0,1
lamp,2025-03-09 21:06:55,10397,0,0,0,1
lamp,2025-03-09 21:07:06,10482,0,0,0,1
lamp,2025-03-09 21:07:17,10177,0,0,0,1
lamp,2025-03-09 21:07:28,10259,0,0,0,1
lamp,2025-03-09 21:07:39,10452,0,0,0,1
